City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
265,Bilma,NE,2022-02-08 22:13:18,18.6853,12.9164,65.93,10,0,6.96
266,Sur,OM,2022-02-08 22:16:17,22.5667,59.5289,69.12,55,0,9.48
267,Wladyslawowo,PL,2022-02-08 22:16:18,54.7909,18.4009,40.93,80,6,25.5
268,Ancud,CL,2022-02-08 22:16:18,-41.8697,-73.8203,68.23,61,66,7.27
269,Toora-Khem,RU,2022-02-08 22:16:19,52.4675,96.11,-9.45,100,100,2.44
270,Sturgeon Falls,CA,2022-02-08 22:16:19,46.3646,-79.9326,27.9,92,100,6.62
271,Taguatinga,BR,2022-02-08 22:16:19,-12.3857,-46.5711,76.08,84,84,0.63
272,Kruisfontein,ZA,2022-02-08 22:16:21,-34.0033,24.7314,68.0,54,47,6.82
273,Kavaratti,IN,2022-02-08 22:16:21,10.5669,72.642,78.66,72,48,14.29
274,Bilibino,RU,2022-02-08 22:17:21,68.0546,166.4372,-26.25,75,15,1.7
275,Lorengau,PG,2022-02-08 22:17:22,-2.0226,147.2712,82.87,80,98,8.79
276,Mestia,GE,2022-02-08 22:17:22,43.0458,42.7278,30.24,96,100,1.23
277,Upington,ZA,2022-02-08 22:17:23,-28.4478,21.2561,77.38,69,33,5.75
278,Meulaboh,ID,2022-02-08 22:17:23,4.1363,96.1285,75.43,88,87,4.47
279,Yellowknife,CA,2022-02-08 22:17:24,62.456,-114.3525,-11.7,76,75,4.61
280,Portland,US,2022-02-08 22:13:50,45.5234,-122.6762,56.61,80,76,4.0
281,Vulcana Bai,RO,2022-02-08 22:17:24,45.0833,25.3833,31.17,99,1,4.99
282,Maningrida,AU,2022-02-08 22:17:24,-12.0667,134.2667,79.11,84,100,2.75
283,Barra Patuca,HN,2022-02-08 22:17:25,15.8,-84.2833,78.71,72,12,12.68
284,Saint-Pierre,RE,2022-02-08 22:17:25,-21.3393,55.4781,76.64,83,20,4.61
285,Eidsvag,NO,2022-02-08 22:17:25,62.7767,8.0668,38.05,95,100,7.81
286,Pochutla,MX,2022-02-08 22:17:26,15.7432,-96.4661,81.45,57,48,5.97
287,Togur,RU,2022-02-08 22:17:26,58.3631,82.8265,-20.0,100,13,4.23
288,Gogrial,SS,2022-02-08 22:17:26,8.5332,28.1004,75.78,19,4,4.9
289,Tokur,RU,2022-02-08 22:17:27,53.1333,132.9,-26.91,100,97,2.84
290,Suhbaatar,MN,2022-02-08 22:17:27,50.2314,106.2078,5.31,98,100,0.72
291,Upernavik,GL,2022-02-08 22:17:27,72.7868,-56.1549,-16.94,93,100,5.97
292,Cairns,AU,2022-02-08 22:17:28,-16.9167,145.7667,80.55,81,38,4.61
293,Dinghai,CN,2022-02-08 22:17:28,26.2847,119.7936,45.52,86,100,12.26
294,Mount Isa,AU,2022-02-08 22:17:28,-20.7333,139.5,78.57,73,3,0.0
