City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,betare oya,CM,5.6,14.0833,73.62,22,99,4.65,overcast clouds
111,keti bandar,PK,24.1447,67.4497,70.16,46,0,7.47,clear sky
112,agirish,RU,61.9247,63.0231,9.66,93,69,10.65,broken clouds
113,koboko,UG,3.4136,30.9599,75.04,28,99,4.34,overcast clouds
114,sibolga,ID,1.7427,98.7792,73.6,97,100,3.31,overcast clouds
115,paamiut,GL,61.994,-49.6678,21.33,78,100,19.84,overcast clouds
116,clara,IE,53.3425,-7.6139,39.31,85,100,7.54,overcast clouds
117,sur,OM,22.5667,59.5289,69.15,64,3,6.2,clear sky
118,vaini,TO,-21.2,-175.2,80.71,81,80,15.14,light rain
119,cherskiy,RU,68.75,161.3,-45.51,100,84,4.09,broken clouds
120,eureka,US,40.8021,-124.1637,67.24,57,1,4.0,clear sky
121,butterworth,MY,5.3991,100.3638,79.0,93,20,4.61,few clouds
122,sioux lookout,CA,50.1001,-91.917,14.38,91,100,12.15,light snow
123,batagay,RU,67.6333,134.6333,-42.92,96,48,3.2,scattered clouds
124,belaya gora,RU,68.5333,146.4167,-44.07,99,67,5.97,broken clouds
125,mao,ES,39.8885,4.2658,50.56,81,20,4.61,few clouds
126,anadyr,RU,64.75,177.4833,-19.7,76,0,8.95,clear sky
127,albany,US,42.6001,-73.9662,43.92,56,32,4.0,scattered clouds
128,carman,CA,49.4992,-98.0016,16.12,88,100,13.85,overcast clouds
129,payyannur,IN,12.1,75.2,71.82,90,14,6.4,few clouds
130,bunia,CD,1.5667,30.25,67.86,54,65,2.06,broken clouds
131,vilhena,BR,-12.7406,-60.1458,77.58,73,66,1.97,broken clouds
132,mehriz,IR,31.5917,54.4318,46.9,21,0,4.36,clear sky
133,khipro,PK,25.8285,69.3772,63.99,21,0,7.81,clear sky
134,san quintin,MX,30.4833,-115.95,69.69,32,48,6.73,scattered clouds
135,hobart,AU,-42.8794,147.3294,63.1,77,75,9.22,broken clouds
136,caravelas,BR,-17.7125,-39.2481,79.25,80,5,8.52,clear sky
137,heinola,FI,61.2056,26.0381,32.09,97,100,9.42,snow
138,santa cruz,BO,-17.8,-63.1667,92.66,31,22,5.75,few clouds
