City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
218,matara,LK,75.34,5.9485,80.5353,overcast clouds,Amaloh Boutique Resort
224,sinnamary,GF,77.88,5.3833,-52.95,scattered clouds,ALETHEIA Appartement Sinnamary
225,teahupoo,PF,78.76,-17.8333,-149.2667,scattered clouds,Vanira Lodge
234,letlhakane,BW,83.12,-21.4167,25.5833,broken clouds,Motswedi Hotel
239,lompoc,US,88.7,34.6391,-120.4579,clear sky,"Holiday Inn Express Lompoc, an IHG Hotel"
245,sanarate,GT,82.71,14.795,-90.1922,overcast clouds,Parqueo Travesía Sanarate-Rancho
246,san patricio,US,75.29,28.017,-97.5169,clear sky,"Motel 6 Sinton, TX"
251,madimba,TZ,79.14,-10.4,40.3333,overcast clouds,
252,isangel,VU,78.55,-19.55,169.2667,moderate rain,Tanna Lodge
253,kavieng,PG,81.25,-2.5744,150.7967,light rain,Nusa Island Retreat
256,tucurui,BR,79.52,-3.7661,-49.6725,broken clouds,BBB Rooms Centro Tucurui PA
259,tizimin,MX,76.35,21.15,-88.15,overcast clouds,silva hogar
260,san vicente,AR,88.39,-26.6167,-54.1333,clear sky,Complejo Turístico Farelluk
264,papayal,PE,83.46,-4.0761,-80.7361,overcast clouds,
265,bintulu,MY,75.7,3.1667,113.0333,overcast clouds,900 Boutique INN
270,impfondo,CG,77.27,1.6381,18.0667,broken clouds,Auberge La Place de Jules
271,buriti dos lopes,BR,83.95,-3.175,-41.8669,broken clouds,Pousada Alves
272,shasta lake,US,78.93,40.6804,-122.3708,few clouds,Shasta Dam Motel
273,sambava,MG,76.35,-14.2667,50.1667,moderate rain,Melrose
277,linhares,BR,77.88,-19.3911,-40.0722,scattered clouds,Hotel Conceição
281,tres arroyos,AR,82.83,-38.3739,-60.2798,clear sky,Habitacion Triple con baño y entrada privada
284,batticaloa,LK,76.66,7.7102,81.6924,overcast clouds,Grand Star Guest House
292,bafata,GW,82.44,12.1667,-14.75,clear sky,
293,pacific grove,US,80.71,36.6177,-121.9166,clear sky,Lovers Point Inn
303,phangnga,TH,75.24,8.4509,98.5298,broken clouds,Sunimit Mansion
304,porto nacional,BR,75.2,-10.7081,-48.4172,overcast clouds,Vila Real Hotel
313,sagua la grande,CU,88.79,22.8067,-80.0756,overcast clouds,Hotel Telégrafo
315,remedios,CU,88.72,22.4947,-79.5458,overcast clouds,Hostal Yunai
316,kununurra,AU,76.98,-15.7667,128.7333,scattered clouds,Hotel Kununurra
320,marsh harbour,BS,75.29,26.5412,-77.0636,clear sky,Abaco Beach Resort
325,mana,GF,79.59,5.6592,-53.7767,broken clouds,LE SAMANA
326,kendari,ID,75.81,-3.945,122.4989,overcast clouds,Hotel Wixel
339,alofi,NU,82.29,-19.0595,-169.9187,broken clouds,Taloa Heights
346,bousse,BF,78.1,12.6606,-1.8922,clear sky,Maison d'hôtes EBEN-EZER DE BOUSSE
353,cilegon,ID,75.09,-6.0174,106.0538,light rain,Amaris Hotel Cilegon
355,kahului,US,80.62,20.8947,-156.47,few clouds,Maui Seaside Hotel
356,ruiz,MX,87.4,21.95,-105.15,clear sky,Hotel Casa Monte Ruesga
358,indiaroba,BR,79.81,-11.5192,-37.5117,clear sky,Pura Vida Bahia
359,puerto asis,CO,82.96,0.5133,-76.5007,broken clouds,Ayawaska Hostal
361,kyabe,TD,78.84,9.4515,18.9449,clear sky,
